#title = mean sea level anomaly global ocean (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.06 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.96140,-16.06000,,,
1992.98650,-17.76000,,,
1993.01230,-14.66000,,,
1993.04070,-19.66000,,,
1993.06600,-25.06000,,,
1993.09740,-29.16000,,,
1993.12060,-27.46000,,,
1993.14930,-21.66000,,,
1993.17650,-18.76000,,,
1993.20370,-19.26000,,,
1993.23070,-22.76000,,,
1993.28510,-26.06000,,,
1993.31230,-19.86000,,,
1993.33940,-19.66000,,,
1993.36650,-16.96000,,,
1993.39370,-21.86000,,,
1993.42080,-26.56000,,,
1993.44800,-23.56000,,,
1993.47510,-18.76000,,,
1993.50210,-15.46000,,,
1993.52940,-16.06000,,,
1993.58370,-22.86000,,,
1993.61170,-18.66000,,,
1993.63810,-13.26000,,,
1993.66520,-8.16000,,,
1993.69230,-8.86000,,,
1993.71890,-13.96000,,,
1993.74660,-13.36000,,,
1993.77380,-7.86000,,,
1993.80090,-8.16000,,,
1993.85530,-5.26000,,,
1993.88240,-11.86000,,,
1993.90980,-13.46000,,,
1993.93670,-12.26000,,,
1993.96390,-5.96000,,,
1993.99070,-5.36000,,,
1994.01810,-15.26000,,,
1994.04520,-16.26000,,,
1994.07230,-18.66000,,,
1994.09950,-20.96000,,,
1994.12670,-19.86000,,,
1994.15390,-13.86000,,,
1994.18090,-13.36000,,,
1994.23530,-18.46000,,,
1994.26240,-16.26000,,,
1994.28960,-14.16000,,,
1994.31680,-11.66000,,,
1994.34390,-15.46000,,,
1994.37100,-20.36000,,,
1994.39820,-23.46000,,,
1994.42530,-20.56000,,,
1994.45240,-14.16000,,,
1994.50670,-20.26000,,,
1994.53390,-18.56000,,,
1994.56100,-20.56000,,,
1994.58820,-15.66000,,,
1994.61540,-11.76000,,,
1994.64250,-7.36000,,,
1994.66970,-8.56000,,,
1994.69680,-9.56000,,,
1994.72390,-10.96000,,,
1994.75100,-8.76000,,,
1994.77820,-6.36000,,,
1994.80540,0.14000,,,
1994.83250,-1.56000,,,
1994.88680,-10.56000,,,
1994.91400,-11.86000,,,
1994.94120,-3.26000,,,
1994.96840,-3.66000,,,
1994.99550,-8.16000,,,
1995.02260,-12.26000,,,
1995.04970,-15.86000,,,
1995.07690,-8.46000,,,
1995.10400,-9.76000,,,
1995.13120,-11.56000,,,
1995.15830,-12.26000,,,
1995.21270,-11.26000,,,
1995.23980,-16.66000,,,
1995.26690,-11.16000,,,
1995.29410,-9.06000,,,
1995.32120,-13.06000,,,
1995.37550,-17.86000,,,
1995.40280,-14.76000,,,
1995.42980,-9.26000,,,
1995.45690,-12.36000,,,
1995.48410,-17.66000,,,
1995.53840,-20.56000,,,
1995.56550,-15.46000,,,
1995.59270,-11.56000,,,
1995.61990,-7.26000,,,
1995.64700,-10.86000,,,
1995.67400,-10.66000,,,
1995.70130,-6.36000,,,
1995.72850,2.04000,,,
1995.75560,0.04000,,,
1995.78270,-0.96000,,,
1995.83710,-5.26000,,,
1995.86430,-4.96000,,,
1995.88990,-1.56000,,,
1995.94560,-1.26000,,,
1995.97280,-3.26000,,,
1995.99980,-10.16000,,,
1996.02700,-13.16000,,,
1996.05330,-11.66000,,,
1996.08140,-7.36000,,,
1996.10840,-4.16000,,,
1996.16310,-11.26000,,,
1996.18990,-14.46000,,,
1996.21710,-11.16000,,,
1996.24420,-6.86000,,,
1996.27140,-10.06000,,,
1996.29850,-14.56000,,,
1996.32570,-14.86000,,,
1996.35290,-12.46000,,,
1996.38000,-9.86000,,,
1996.40710,-7.86000,,,
1996.43420,-10.66000,,,
1996.48860,-15.86000,,,
1996.51570,-13.16000,,,
1996.54290,-7.76000,,,
1996.57000,-2.66000,,,
1996.59720,-4.86000,,,
1996.62440,-9.86000,,,
1996.65150,-9.86000,,,
1996.67860,-10.06000,,,
1996.70530,-2.66000,,,
1996.73350,4.84000,,,
1996.76000,6.34000,,,
1996.81440,12.94000,,,
1996.84150,12.84000,,,
1996.86870,9.04000,,,
1996.89590,1.84000,,,
1996.92300,-1.76000,,,
1996.95010,-5.86000,,,
1996.97700,-13.16000,,,
1997.00440,-10.36000,,,
1997.03160,-5.46000,,,
1997.05870,-6.66000,,,
1997.08580,-7.96000,,,
1997.14020,-12.66000,,,
1997.16730,-10.66000,,,
1997.19440,-9.06000,,,
1997.22160,-6.96000,,,
1997.24870,-8.76000,,,
1997.27590,-12.86000,,,
1997.30300,-15.56000,,,
1997.33020,-11.56000,,,
1997.35730,-6.26000,,,
1997.38440,-8.66000,,,
1997.41160,-8.56000,,,
1997.46590,-15.26000,,,
1997.49280,-9.76000,,,
1997.52020,-6.16000,,,
1997.54740,0.14000,,,
1997.57450,-4.36000,,,
1997.62880,-4.56000,,,
1997.65600,-0.36000,,,
1997.68300,4.44000,,,
1997.71030,9.04000,,,
1997.73740,6.44000,,,
1997.79170,4.34000,,,
1997.81890,6.64000,,,
1997.84600,10.84000,,,
1997.87310,4.84000,,,
1997.90010,-0.66000,,,
1997.92740,-4.46000,,,
1997.95460,-7.96000,,,
1997.98170,-2.96000,,,
1998.00830,-1.66000,,,
1998.03600,-0.96000,,,
